Local,Data,Etiqueta,Número,Gênero,Epíteto,tipo de coleta
Aiuaba,14/09/13,CHUFPB,2000,Pseudopaludicola,pocoto,busca ativa
Aiuaba,14/09/13,CHUFPB,3012,Pseudopaludicola,pocoto,busca ativa
Aiuaba,14/09/13,CHUFPB,3013,Pseudopaludicola,pocoto,busca ativa
Aiuaba,14/09/13,CHUFPB,3014,Pseudopaludicola,pocoto,busca ativa
Aiuaba,15/09/13,CHUFPB,3015,Lygodactylus,klugei,busca ativa
Aiuaba,15/09/13,CHUFPB,3016,Vanzosaura,rubricauda,busca ativa
Aiuaba,15/09/13,CHUFPB,3017,Leptodactylus,macrosternum,busca ativa
Aiuaba,15/09/13,CHUFPB,3018,Leptodactylus,macrosternum,busca ativa
Aiuaba,15/09/13,CHUFPB,3019,Leptodactylus,macrosternum,busca ativa
Aiuaba,15/09/13,CHUFPB,3020,Leptodactylus,macrosternum,busca ativa
Aiuaba,14/09/13,CHUFPB,3021,Gymnodactylus,geckoides,busca ativa
Aiuaba,15/09/13,CHUFPB,3022,Hemidactylus,mabouia,busca ativa
Aiuaba,15/09/13,CHUFPB,3023,Lygodactylus,klugei,busca ativa
Aiuaba,15/09/13,CHUFPB,3024,Hemidactylus,mabouia,busca ativa
Aiuaba,15/09/13,CHUFPB,3025,Oxyrhopus,trigeminus,busca ativa
Aiuaba,15/09/13,CHUFPB,3026,Pseudopaludicola,pocoto,busca ativa
Aiuaba,17/09/13,CHUFPB,3027,Bothrops,leucurus,encontro ocasional
Aiuaba,17/09/13,CHUFPB,3028,Leptodactylus,vastus,busca ativa
Aiuaba,18/09/13,CHUFPB,3029,Tropidurus,hispidus,pit 22
Aiuaba,18/09/13,CHUFPB,3030,Cnemidophurus,gr. ocellifer,pit 19
Aiuaba,18/09/13,CHUFPB,3031,Cnemidophurus,gr. ocellifer,pit 19
Aiuaba,18/09/13,CHUFPB,3032,Gymnodactylus,geckoides,pit 25
Aiuaba,18/09/13,CHUFPB,3033,Tropidurus,hispidus,pit 5
Aiuaba,18/09/13,CHUFPB,3034,Gymnodactylus,geckoides,pit 5
Aiuaba,18/09/13,CHUFPB,3035,Cnemidophurus,gr. ocellifer,pit 16
Aiuaba,18/09/13,CHUFPB,3036,Gymnodactylus,geckoides,pit 31
Aiuaba,18/09/13,CHUFPB,3037,Cnemidophurus,gr. ocellifer,pit 16
Aiuaba,18/09/13,CHUFPB,3038,Gymnodactylus,geckoides,pit 20
Aiuaba,18/09/13,CHUFPB,3039,Gymnodactylus,geckoides,pit 20
Aiuaba,18/09/13,CHUFPB,3040,Gymnodactylus,geckoides,pit 20
Aiuaba,18/09/13,CHUFPB,3041,Gymnodactylus,geckoides,pit 20
Aiuaba,18/09/13,CHUFPB,3042,Gymnodactylus,geckoides,pit 10
Aiuaba,18/09/13,CHUFPB,3043,Gymnodactylus,geckoides,pit 13
Aiuaba,18/09/13,CHUFPB,3044,Vanzosaura,rubricauda,pit 13
Aiuaba,18/09/13,CHUFPB,3045,Vanzosaura,rubricauda,pit 13
Aiuaba,18/09/13,CHUFPB,3046,Vanzosaura,rubricauda,pit 26
Aiuaba,18/09/13,CHUFPB,3047,Vanzosaura,rubricauda,pit 10
Aiuaba,18/09/13,CHUFPB,3048,Vanzosaura,rubricauda,pit 17
Aiuaba,18/09/13,CHUFPB,3049,Vanzosaura,rubricauda,pit 17
Aiuaba,18/09/13,CHUFPB,3050,Vanzosaura,rubricauda,pit 24
Aiuaba,18/09/13,CHUFPB,3051,Vanzosaura,rubricauda,pit 8
Aiuaba,18/09/13,CHUFPB,3052,Cnemidophurus,gr. ocellifer,pit 15
Aiuaba,18/09/13,CHUFPB,3053,Cnemidophurus,gr. ocellifer,pit 29
Aiuaba,18/09/13,CHUFPB,3054,Tropidurus,hispidus,pit 31
Aiuaba,18/09/13,CHUFPB,3055,Tropidurus,hispidus,pit 15
Aiuaba,18/09/13,CHUFPB,3056,Gymnodactylus,geckoides,pit 35
Aiuaba,18/09/13,CHUFPB,3057,Gymnodactylus,geckoides,pit 35
Aiuaba,18/09/13,CHUFPB,3058,Gymnodactylus,geckoides,"pitfall M2P2, robson"
Aiuaba,18/09/13,CHUFPB,3059,Gymnodactylus,geckoides,"pitfall M2P2, robson"
Aiuaba,18/09/13,CHUFPB,3060,Tropidurus,hispidus,"pitfall M2P4, robson"
Aiuaba,18/09/13,CHUFPB,3061,Phyllopezus,pollicaris,pit 5
Aiuaba,18/09/13,CHUFPB,3062,Gymnodactylus,geckoides,"pit, robson"
Aiuaba,18/09/13,CHUFPB,3063,Gymnodactylus,geckoides,"pit, robson"
Aiuaba,18/09/13,CHUFPB,3064,Gymnodactylus,geckoides,pit 24
Aiuaba,18/09/13,CHUFPB,3065,Vanzosaura,rubricauda,pit 14
Aiuaba,18/09/13,CHUFPB,3066,Tropidurus,hispidus,pit 29
Aiuaba,18/09/13,CHUFPB,3067,Ameiva,ameiva,pit 29
Aiuaba,18/09/13,CHUFPB,3068,Cnemidophurus,gr. ocellifer,pit 19
Aiuaba,18/09/13,CHUFPB,3069,Phyllopezus,pollicaris,pit 31
